 12.9  25  31   1.8  140   13.2  2705  Acura Integra        
 29.2  18  25   3.2  200   18.0  3560  Acura Legend         
 25.9  20  26   2.8  172   16.9  3375  Audi 90              
 30.8  19  26   2.8  172   21.1  3405  Audi 100             
 23.7  22  30   3.5  208   21.1  3640  BMW 535i             
 14.2  22  31   2.2  110   16.4  2880  Buick Century        
 19.9  19  28   3.8  170   18.0  3470  Buick LeSabre        
 22.6  16  25   5.7  180   23.0  4105  Buick Roadmaster     
 26.3  19  27   3.8  170   18.8  3495  Buick Riviera        
 33.0  16  25   4.9  200   18.0  3620  Cadillac DeVille     
 37.5  16  25   4.6  295   20.0  3935  Cadillac Seville     
  8.5  25  36   2.2  110   15.2  2490  Chevrolet Cavalier   
 11.4  25  34   2.2  110   15.6  2785  Chevrolet Corsica    
 13.4  19  28   3.4  160   15.5  3240  Chevrolet Camaro     
 13.4  21  29   2.2  110   16.5  3195  Chevrolet Lumina     
 14.7  18  23   3.8  170   20.0  3715  Chevrolet Lumina APV 
 14.7  15  20   4.3  165   27.0  4025  Chevrolet Astro      
 18.0  17  26   5.0  170   23.0  3910  Chevrolet Caprice    
 34.6  17  25   5.7  300   20.0  3380  Chevrolet Corvette   
 18.4  20  28   3.3  153   18.0  3515  Chrylser Concorde    
 14.5  23  28   3.0  141   16.0  3085  Chrysler LeBaron     
 29.5  20  26   3.3  147   16.0  3570  Chrysler Imperial    
  7.9  29  33   1.5   92   13.2  2270  Dodge Colt           
  8.4  23  29   2.2   93   14.0  2670  Dodge Shadow         
 11.9  22  27   2.5  100   16.0  2970  Dodge Spirit         
 13.6  17  21   3.0  142   20.0  3705  Dodge Caravan        
 14.8  21  27   2.5  100   16.0  3080  Dodge Dynasty        
 18.5  18  24   3.0  300   19.8  3805  Dodge Stealth        
  7.9  29  33   1.5   92   13.2  2295  Eagle Summit         
 17.5  20  28   3.5  214   18.0  3490  Eagle Vision         
  6.9  31  33   1.3   63   10.0  1845  Ford Festiva         
  8.4  23  30   1.8  127   13.2  2530  Ford Escort          
 10.4  22  27   2.3   96   15.9  2690  Ford Tempo           
 10.8  22  29   2.3  105   15.4  2850  Ford Mustang         
 12.8  24  30   2.0  115   15.5  2710  Ford Probe           
 14.5  15  20   3.0  145   21.0  3735  Ford Aerostar        
 15.6  21  30   3.0  140   16.0  3325  Ford Taurus          
 20.1  18  26   4.6  190   20.0  3950  Ford Crown Victoria  
  6.7  46  50   1.0   55   10.6  1695  Geo Metro            
 11.5  30  36   1.6   90   12.4  2475  Geo Storm            
 17.0  24  31   2.3  160   15.9  2865  Honda Prelude        
  8.4  42  46   1.5  102   11.9  2350  Honda Civic          
 13.8  24  31   2.2  140   17.0  3040  Honda Accord         
  6.8  29  33   1.5   81   11.9  2345  Hyundai Excel        
  9.0  22  29   1.8  124   13.7  2620  Hyundai Elantra      
  9.1  26  34   1.5   92   11.9  2285  Hyundai Scoupe       
 12.4  20  27   2.0  128   17.2  2885  Hyundai Sonata       
 45.4  17  22   4.5  278   22.5  4000  Infiniti Q45         
 27.5  18  24   3.0  185   18.5  3510  Lexus ES300          
 34.7  18  23   3.0  225   20.6  3515  Lexus SC300          
 33.3  17  26   3.8  160   18.4  3695  Lincoln Continental  
 34.4  18  26   4.6  210   20.0  4055  Lincoln Town Car     
  7.4  29  37   1.6   82   13.2  2325  Mazda 323            
 10.9  28  36   1.8  103   14.5  2440  Mazda Protege        
 14.3  26  34   2.5  164   15.5  2970  Mazda 626            
 16.6  18  24   3.0  155   19.6  3735  Mazda MPV            
 32.5  17  25   1.3  255   20.0  2895  Mazda RX-7           
 29.0  20  29   2.3  130   14.5  2920  Mercedes-Benz 190E   
 43.8  19  25   3.2  217   18.5  3525  Mercedes-Benz 300E   
 13.3  23  26   1.6  100   11.1  2450  Mercury Capri        
 14.9  19  26   3.8  140   18.0  3610  Mercury Cougar       
  7.7  29  33   1.5   92   13.2  2295  Mitsubishi Mirage    
 22.4  18  24   3.0  202   19.0  3730  Mitsubishi Diamante  
  8.7  29  33   1.6  110   13.2  2545  Nissan Sentra        
 13.0  24  30   2.4  150   15.9  3050  Nissan Altima        
 16.7  17  23   3.0  151   20.0  4100  Nissan Quest         
 21.0  21  26   3.0  160   18.5  3200  Nissan Maxima        
 13.0  24  31   2.3  155   15.2  2910  Oldsmobile Achieva   
 14.2  23  31   2.2  110   16.5  2890  Oldsmobile Cutlass   
 19.5  18  23   3.8  170   20.0  3715  Oldsmobile Silhouette
 19.5  19  28   3.8  170   18.0  3470  Oldsmobile 88        
 11.4  23  30   1.8   92   15.9  2640  Plymouth Laser       
  8.2  31  41   1.6   74   13.2  2350  Pontiac LeMans       
  9.4  23  31   2.0  110   15.2  2575  Pontiac Sunbird      
 14.0  19  28   3.4  160   15.5  3240  Pontiac Firebird     
 15.4  19  27   3.4  200   16.5  3450  Pontiac Grand Prix   
 19.4  19  28   3.8  170   18.0  3495  Pontiac Bonneville   
 20.3  20  26   2.1  140   18.0  2775  Saab 900             
  9.2  28  38   1.9   85   12.8  2495  Saturn SL            
  7.3  33  37   1.2   73    9.2  2045  Subaru Justy         
 10.5  25  30   1.8   90   15.9  2490  Subaru Loyale        
 16.3  23  30   2.2  130   15.9  3085  Subaru Legacy        
  7.3  39  43   1.3   70   10.6  1965  Suzuki Swift         
  7.8  32  37   1.5   82   11.9  2055  Toyota Tercel        
 14.2  25  32   2.2  135   15.9  2950  Toyota Celica        
 15.2  22  29   2.2  130   18.5  3030  Toyota Camry         
 18.9  18  22   2.4  138   19.8  3785  Toyota Previa        
  8.7  25  33   1.8   81   12.4  2240  Volkswagen Fox       
 16.6  17  21   2.5  109   21.1  3960  Volkswagen Euro 6    
 17.6  21  30   2.0  134   18.5  2985  Volkswagen Passat    
 22.9  18  25   2.8  178   18.5  2810  Volkswagen Corrado   
 21.8  21  28   2.3  114   15.8  2985  Volvo 240            
 24.8  20  28   2.4  168   19.3  3245  Volvo 850            
