   1    1
   2    2
   3    1
   4    1
   5    0
   6    1
   7    2
   8    3
   9    0
  10    3
  11    1
  12    1
  13    2
  14    1
  15    1
  16    3
  17    1
  18    4
  19    3
  20    0
  21    1
  22    0
  23    4
  24    2
  25    2
  26    1
  27    3
  28    1
  29    0
  30    0
  31    0
  32    0
  33    1
  34    0
  35    0
  36    0
  37    0
  38    3
  39    1
  40    0
  41    0
  42    0
  43    1
  44    0
  45    0
  46    0
  47    0
  48    0
  49    1
  50    0
