  1960    129.7    0.925    6036    0.836
  1961    131.3    0.914    6113    0.869
  1962    137.1    0.919    6271    0.948
  1963    141.6    0.918    6378    0.960
  1964    148.8    0.914    6727    1.001
  1965    155.9    0.949    7027    0.994
  1966    164.9    0.970    7280    0.970
  1967    171.0    1.000    7513    1.000
  1968    183.4    1.014    7728    1.028
  1969    195.8    1.047    7891    1.031
  1970    207.4    1.056    8134    1.043
  1971    218.3    1.063    8322    1.102
  1972    226.8    1.076    8562    1.105
  1973    237.9    1.181    9042    1.176
  1974    225.8    1.599    8867    1.226
  1975    232.4    1.708    8944    1.464
  1976    241.7    1.779    9175    1.679
  1977    249.2    1.882    9381    1.828
  1978    261.3    1.963    9735    1.865
  1979    248.9    2.656    9829    2.010
  1980    226.8    3.691    9722    2.081
  1981    225.6    4.109    9769    2.569
  1982    228.8    3.894    9725    2.964
  1983    239.6    3.764    9930    3.297
  1984    244.7    3.707   10421    3.757
  1985    245.8    3.738   10563    3.797
  1986    269.4    2.921   10780    3.632
