   1   18
   2   14
   3    9
   4    8
   5    6
   6    4
   7    6
   8    7
   9    1
  10    6
  11    7
  12    5
  13    5
  14    0
  15    0
  16    2
  17    1
  18    1
  19    1
  20    0
  21    0
  22    1
  23    0
  24    0
  25    1
  26    0
  27    0
  28    0
  29    0
  30    1
  31    0
  32    0
  33    0
  34    0
  35    0
  36    0
  37    0
  38    0
  39    0
  40    0
  41    1
  42    0
  43    0
  44    1
  45    0
  46    1
  47    0
  48    0
  49    0
  50    0
  51    0
  52    0
  53    0
  54    1
  55    1
