  73    24.828   8-1989
  67    24.688   9-1989
  57    19.310  10-1989
  43    59.706  11-1989
  26    99.667  12-1989
  41    49.333   1-1990
  38    59.375   2-1990
  46    55.172   3-1990
  54    55.517   4-1990
  60    25.938   5-1990
  71    20.690   6-1990
  75    24.333   7-1990
  74    22.759   8-1990
  66    24.688   9-1990
  61    22.759  10-1990
  49    50.588  11-1990
  41    79.000  12-1990
  35    87.188   1-1991
  41    47.333   2-1991
  42    38.621   3-1991
  56    27.931   4-1991
  69    25.000   5-1991
  73    17.241   6-1991
  77    17.000   7-1991
  74    22.188   8-1991
  66    18.276   9-1991
  56    27.241  10-1991
  47    39.706  11-1991
  38    81.667  12-1991
  34    79.688   1-1992
  37    67.667   2-1992
  39    65.862   3-1992
  51    54.839   4-1992
  60    34.667   5-1992
  70    23.448   6-1992
  73    29.586   7-1992
  71    32.448   8-1992
  66    30.033   9-1992
  54    43.586  10-1992
  45    48.029  11-1992
  36    52.424  12-1992
  34    62.333   1-1993
  32    71.156   2-1993
  39    44.621   3-1993
  55    19.357   4-1993
  64    23.733   5-1993
  72    10.414   6-1993
  79    17.875   7-1993
  75    24.207   8-1993
  65    24.333   9-1993
  54    40.935  10-1993
  48    42.938  11-1993
  35    65.250  12-1993
  24   101.300   1-1994
  32   101.660   2-1994
