 0.5885    0.0888   201    36.02   28   R. Miller        
 0.8291    0.1399   198    39.32   30   M. Jordan        
 0.4974    0.0747   198    38.80   26   D. West          
 0.5772    0.0983   191    40.71   30   J. Dumars        
 0.5703    0.1276   196    38.40   28   M. Richmond      
 0.5835    0.1671   201    34.10   31   C. Drexler       
 0.5276    0.1906   193    36.20   30   J. Hornacek      
 0.5523    0.1061   191    36.75   27   H. Hawkins       
 0.4007    0.2446   185    38.43   29   S. Skiles        
 0.4770    0.1670   203    33.54   24   S. Smith         
 0.4313    0.2485   188    35.01   27   M. Williams      
 0.4909    0.1227   198    36.67   29   R. Harper        
 0.5668    0.1240   185    33.88   24   M. Abdul-Rauf    
 0.5113    0.1461   191    35.59   30   T. Porter        
 0.3788    0.2315   191    38.01   28   M. Jackson       
 0.5590    0.0494   193    32.38   32   J. Malone        
 0.4799    0.1107   196    35.22   25   K. Gill          
 0.5735    0.2521   183    31.73   29   M. Price         
 0.6318    0.1007   193    28.81   34   R. Pierce        
 0.4326    0.1067   196    35.60   23   L. Sprewell      
 0.4280    0.1956   188    35.28   32   S. Threatt       
 0.4401    0.1828   191    29.54   28   K. Smith         
 0.5581    0.1627   196    31.35   28   J. Starks        
 0.4866    0.1403   198    33.50   23   J. Jackson       
 0.5267    0.1563   193    34.56   32   D. Harper        
 0.5439    0.2681   183    39.53   27   T. Hardaway      
 0.4419    0.1236   196    26.70   34   D. Ainge         
 0.3998    0.1300   188    30.77   26   B. J. Armstrong  
 0.4325    0.0896   198    25.67   30   G. Wilkins       
 0.4086    0.2071   178    36.22   30   M. Adams         
 0.4624    0.2244   185    36.55   23   K. Anderson      
 0.4325    0.3437   185    34.91   31   J. Stockton      
 0.4903    0.1058   191    28.35   28   K. Edwards       
 0.4802    0.2326   185    33.53   27   K. Johnson       
 0.4345    0.1577   193    31.07   25   G. Payton        
 0.4819    0.2327   185    36.52   32   I. Thomas        
 0.6244    0.1256   196    27.87   29   S. Marciulionis  
 0.3991    0.1070   198    24.31   34   R. Blackman      
 0.4414    0.1343   193    31.26   28   V. Maxwell       
 0.4013    0.0586   196    22.18   23   B. Smith         
 0.3801    0.2383   185    35.25   26   M. Blaylock      
 0.3498    0.1006   198    22.87   30   A. Bowie         
 0.3185    0.2164   193    24.49   32   D. Rivers        
 0.3097    0.1485   198    23.57   27   B. Shaw          
 0.4319    0.2270   191    31.72   27   R. Strickland    
 0.3799    0.1649   188    27.90   25   B. Coles         
 0.4091    0.1188   191    22.74   24   L. Smith         
 0.3588    0.1940   193    20.62   27   V. D. Negro      
 0.4727    0.2495   185    30.46   25   E. Murdock       
 0.3212    0.2378   185    32.38   27   P. Richardson    
 0.3418    0.1592   191    25.75   31   J. Hamphries     
 0.4285    0.2069   170    33.84   30   S. Webb          
 0.3917    0.2084   185    27.83   25   D. Brown         
 0.5769    0.0877   193    21.67   26   R. Chapman       
 0.4773    0.1010   193    21.79   24   A. Peeler        
 0.4512    0.0942   201    20.17   26   L. Daniels       
 0.3096    0.0550   193    29.07   31   A. Robertson     
 0.3089    0.1071   196    24.28   24   M. Macon         
 0.4573    0.0728   193    19.24   27   T. Legler        
 0.3214    0.2771   180    27.07   28   A. Johnson       
 0.5437    0.0528   196    18.95   22   H. Miner         
 0.4121    0.2130   188    21.59   30   J. Dawkins       
 0.2185    0.1356   193    13.27   31   D. Young         
 0.3313    0.1043   196    16.30   23   H. Davis         
 0.3302    0.1130   191    23.01   25   R. Brown         
 0.4677    0.1477   196    20.31   31   V. Fleming       
 0.2406    0.1317   188    17.46   33   J. Paxson        
 0.3007    0.2187   191    21.95   28   G. Grant         
 0.2471    0.2127   188    14.57   37   M. Cheeks        
 0.2894    0.2547   160    34.55   28   T. Bogues        
 0.3682    0.1591   191    22.00   24   D. Overton       
 0.3890    0.0898   196    13.37   34   T. Tucker        
 0.5120    0.2146   188    20.51   24   R. Pack          
 0.4449    0.1871   183    19.78   28   T. Brandon       
 0.4035    0.1528   191    16.36   33   S. Floyd         
 0.2683    0.1560   191    16.03   23   C. Smith         
 0.2719    0.2348   188    24.27   26   G. Anthony       
 0.3408    0.1623   180    18.49   28   S. Brooks        
 0.4393    0.1239   180    17.76   26   D. Barros        
 0.3004    0.2178   185    13.31   25   S. Henson        
 0.3503    0.1608   185    17.41   26   N. Knight        
 0.4388    0.0805   193    13.67   25   T. Smith         
 0.2578    0.1776   193    17.46   27   M. Wiley         
 0.2989    0.1668   185    14.38   35   F. Johnson       
 0.4455    0.1072   188    12.12   31   J. Battle        
 0.3087    0.1821   185    12.63   25   B. Price         
 0.3678    0.1880   180    12.24   30   J. Les           
 0.3667    0.1167   196    12.00   24   J. Barry         
 0.3189    0.2617   185    24.46   27   S. Douglas       
 0.4187    0.1994   188    20.06   27   R. Robinson      
 0.5059    0.1706   170    17.00   25   K. Jennings      
 0.3195    0.1554   183    11.58   24   T. Bennett       
 0.2381    0.2282   185    10.08   24   D. Cooper        
 0.2802    0.1778   185    18.56   23   L. Mayberry      
 0.3810    0.1863   185    11.81   23   L. Green         
 0.1593    0.1014   193    13.81   32   D. Walker        
