  0.105    1    Adam Oates          
  0.063    0    Ray Bourque         
  0.171    1    Vladimir Ruzicka    
  0.128    1    Stephen Leach       
  0.146    1    Bob Carpenter       
  0.043    0    Glen Wesley         
  0.138    1    Brent Ashton        
  0.086    1    Bob Sweeney         
  0.038    0    Gordon Murphy       
  0.033    0    Don Sweeney         
  0.095    1    Dale Hawerchuk      
  0.122    1    Dave Andreychuk     
  0.165    1    Alexander Mogilny   
  0.203    1    Donald Audette      
  0.061    0    Doug Bodger         
  0.102    1    Randy Wood          
  0.113    1    Tony Tanti          
  0.054    0    Petr Svoboda        
  0.037    1    Christian Ruuttu    
  0.025    0    Ken Sutton          
  0.134    1    Brad May            
  0.055    0    Mike Ramsey         
  0.172    1    Rob Ray             
  0.067    0    Gord Donnelly       
  0.270    1    Gary Roberts        
  0.066    0    Al Macinnis         
  0.147    1    Theoren Fleury      
  0.265    1    Sergei Makarov      
  0.161    1    Joe Nieuwendyk      
  0.063    0    Gary Suter          
  0.110    1    Robert Reichel      
  0.145    1    Paul Ranheim        
  0.124    1    Joel Otto           
  0.064    1    Gary Leeman         
  0.031    0    Michel Petit        
  0.135    1    Ronnie Stern        
  0.087    1    Craig Berube        
  0.056    0    Frank Musil         
  0.226    1    Jeremy Roenick      
  0.099    1    Steve Larmer        
  0.125    1    Michel Goulet       
  0.107    1    Brent Sutter        
  0.038    0    Chris Chelios       
  0.198    1    Rob Brown           
  0.077    1    Dirk Graham         
  0.123    1    Brian Noonan        
  0.059    0    Steve Smith         
  0.144    1    Mike Hudson         
  0.058    1    Jocelyn Lemieux     
  0.037    0    Frantisek Kucera    
  0.188    1    Mike Peluso         
  0.153    1    Steve Yzerman       
  0.129    1    Sergei Fedorov      
  0.166    1    Paul Ysebart        
  0.227    1    Jimmy Carson        
  0.202    1    Ray Sheppard        
  0.065    0    Nicklas Lidstrom    
  0.136    1    Shawn Burr          
  0.154    1    Kevin Miller        
  0.208    1    Bob Probert         
  0.121    1    Gerard Gallant      
  0.070    0    Steve Chiasson      
  0.074    0    Vladimir Konstantino
  0.074    0    Brad McCrimmon      
  0.019    0    Yves Racine         
  0.083    1    Brent Fedyk         
  0.048    0    Bob McGill          
  0.154    1    Vincent Damphousse  
  0.181    1    Joe Murphy          
  0.188    1    Craig Simpson       
  0.145    1    Scott Mellanby      
  0.073    0    Dave Manson         
