 1    1890 
 2    1957 
 3    1925 
 4    1885 
 5    1896 
 6    1934 
 7    2036 
 8    2069 
 9    2060 
10    1922 
11    1854 
12    1852 
13    1952 
14    2011 
15    2015 
16    1971 
17    1883 
18    2070 
19    2221 
20    2173 
21    2105 
22    1962 
23    1951 
24    1975 
25    2092 
26    2148 
27    2114 
28    2013 
29    1986 
30    2088 
31    2218 
32    2312 
33    2462 
34    2455 
35    2357 
36    2309 
37    2398 
38    2400 
39    2331 
40    2222 
41    2156 
42    2256 
43    2352 
44    2371 
45    2356 
46    2211 
47    2108 
48    2069 
49    2123 
50    2147 
51    2050 
52    1977 
53    1993 
54    2134 
55    2275 
56    2262 
57    2194 
58    2109 
59    2114 
60    2086 
61    2089 
62    2097 
63    2036 
64    1957 
65    1953 
66    2039 
67    2116 
68    2134 
69    2142 
70    2023 
71    1972 
72    1942 
73    1931 
74    1980 
75    1977 
76    1972 
77    2017 
78    2161 
79    2468 
80    2691 
81    2890 
82    2913 
83    2940 
84    2870 
85    2911 
86    2832 
87    2774 
88    2568 
89    2574 
90    2641 
91    2691 
92    2698 
93    2701 
94    2596 
95    2503 
96    2424 
